BID VOLUME,PRICE,ASK VOLUME
,652.10,408.01
,651.80,434.25
,651.50,2740.74
,651.40,146.64
,651.30,1158.96
,651.20,905.39
,651.10,780.34
,651.00,1345.04
,650.90,857.34
,650.80,2434.50
,650.70,841.99
,650.60,1242.50
,650.50,164.09
,650.40,1689.29
,650.30,2208.31
,650.20,2558.05
1576.36,650.10,
1649.54,650.00,
961.14,649.90,
925.32,649.80,
2121.86,649.70,
1761.56,649.60,
955.54,649.50,
1131.85,649.40,
815.68,649.30,
908.70,649.20,
745.75,649.10,
1017.41,649.00,
904.53,648.90,
662.98,648.80,
2273.25,648.70,
989.71,648.60,
1273.07,648.30,
948.36,648.00,
