BID VOLUME,PRICE,ASK VOLUME
,652.40,547.64
,652.10,524.13
,651.80,297.43
,651.50,895.94
,651.20,634.21
,651.10,95.61
,651.00,1205.51
,650.90,773.82
,650.80,761.96
,650.60,1273.61
,650.50,2012.74
,650.40,983.36
,650.30,694.34
,650.20,1926.18
,650.10,2124.96
,650.00,2123.94
110.15,649.90,
3329.52,649.80,
189.77,649.70,
2066.86,649.50,
3427.92,649.40,
506.99,649.30,
1384.10,649.20,
1103.57,649.00,
1441.80,648.90,
676.80,648.80,
40.72,648.60,
534.86,648.50,
136.55,648.30,
595.04,648.00,
108.89,647.80,
427.42,647.50,
