BID VOLUME,PRICE,ASK VOLUME
,303.10,973.60
,302.40,320.40
,302.30,407.79
,301.90,1223.72
,301.80,1096.72
,301.70,95.36
,301.60,389.22
,301.40,340.95
,301.30,133.33
,301.10,863.78
,301.00,480.41
,300.90,1729.83
,300.80,368.19
,300.70,3579.74
,300.60,1583.72
,300.50,3187.42
,300.40,481.66
,300.20,2634.79
,300.10,1987.76
229.18,300.00,
1948.24,299.90,
2435.45,299.80,
2455.73,299.70,
2583.36,299.60,
139.50,299.50,
1050.72,299.40,
1796.03,299.30,
1086.14,299.20,
1400.09,299.10,
2845.48,299.00,
89.55,298.90,
3096.48,298.80,
1090.11,298.70,
1801.84,298.40,
80.64,298.10,
185.37,298.00,
478.96,297.80,
515.41,297.60,
485.70,297.30,
