BID VOLUME,PRICE,ASK VOLUME
,152.40,62.86
,151.50,230.48
,151.40,424.92
,151.20,271.48
,151.00,97.99
,150.90,622.47
,150.80,1050.36
,150.70,41.66
,150.60,1143.89
,150.50,234.10
,150.40,615.79
,150.30,1053.85
,150.10,342.20
,150.00,1205.02
,149.90,896.99
,149.80,127.39
866.72,149.79,
434.50,149.76,
50.52,149.70,
931.99,149.65,
748.20,149.60,
652.57,149.52,
763.88,149.51,
87.99,149.50,
954.66,149.40,
1118.39,149.30,
751.61,149.27,
2254.97,149.20,
694.03,149.10,
957.97,149.00,
342.84,148.90,
744.66,148.90,
467.25,148.68,
876.68,148.60,
407.05,148.50,
257.02,148.40,
149.10,148.20,
775.95,147.70,
