BID VOLUME,PRICE,ASK VOLUME
,652.00,615.92
,651.90,694.46
,651.70,752.88
,651.60,655.87
,651.40,1207.16
,651.30,608.10
,651.20,1901.34
,651.11,123.29
,651.10,939.97
,651.00,2345.20
,650.90,971.45
,650.70,619.74
,650.60,1089.02
,650.50,820.30
,650.40,2245.68
,650.31,79.35
,650.30,1671.45
,650.20,478.89
,650.10,51.44
,650.00,434.39
2746.01,649.90,
881.60,649.81,
2773.25,649.70,
2104.18,649.50,
737.46,649.40,
1352.86,649.30,
708.78,649.10,
2023.57,648.90,
1728.47,648.80,
1097.48,648.60,
700.51,648.50,
1023.30,648.40,
499.44,648.38,
417.69,648.10,
925.90,647.10,
