BID VOLUME,PRICE,ASK VOLUME
,652.40,139.44
,652.20,92.69
,652.00,789.70
,651.90,72.15
,651.70,397.74
,651.40,1116.46
,651.30,1292.62
,651.20,749.87
,651.10,2271.66
,651.00,1382.27
,650.90,1166.11
,650.80,640.74
,650.70,85.41
,650.60,928.21
,650.50,442.97
93.26,650.30,
755.10,650.20,
3035.69,650.10,
562.87,650.05,
1906.86,650.00,
515.26,649.90,
3842.35,649.80,
892.15,649.70,
631.56,649.68,
339.71,649.60,
1355.98,649.50,
1344.28,649.40,
162.81,649.30,
1015.83,649.20,
493.79,649.10,
942.54,648.90,
748.36,648.72,
252.45,648.70,
1140.90,648.70,
472.31,648.60,
885.59,648.30,
681.00,648.30,
288.59,647.90,
