BID VOLUME,PRICE,ASK VOLUME
,302.00,648.13
,301.90,526.40
,301.80,409.38
,301.60,620.43
,301.40,1419.64
,301.30,1622.79
,301.20,720.31
,301.10,792.93
,301.00,1541.56
,300.90,1136.71
,300.80,1421.15
,300.70,717.26
,300.60,1391.08
,300.50,4292.43
,300.40,1666.05
,300.30,285.19
,300.20,912.01
,300.10,1459.24
,300.00,301.08
610.90,299.90,
1928.67,299.80,
1327.85,299.70,
1697.14,299.60,
3280.10,299.50,
642.11,299.40,
2087.71,299.30,
1231.83,299.20,
2610.56,299.10,
436.37,299.00,
685.52,298.90,
858.04,298.80,
958.87,298.79,
644.74,298.70,
1971.65,298.60,
81.86,298.50,
647.42,298.39,
398.17,298.30,
738.06,298.10,
429.93,297.90,
1071.58,297.70,
264.64,297.60,
776.34,296.40,
