BID VOLUME,PRICE,ASK VOLUME
,308.40,903.98
,307.58,847.88
,306.66,607.26
,306.22,195.89
,306.15,138.39
,306.11,779.44
,305.79,937.69
,305.76,552.08
,305.34,651.37
,304.90,520.82
,304.88,988.27
,304.76,964.58
,304.59,128.62
,303.94,513.51
,303.75,991.99
,303.68,562.51
,303.64,22.73
,303.56,141.49
,303.54,969.02
,303.35,366.45
,303.27,557.76
,303.21,432.83
,303.12,655.06
,303.11,315.49
,303.11,351.33
,303.10,973.60
,302.96,416.49
,302.95,72.66
,302.91,125.58
,302.91,174.35
,302.81,701.75
,302.77,272.19
,302.75,369.70
,302.64,49.39
,302.60,635.03
,302.46,917.67
,302.45,305.77
,302.43,441.64
,302.42,99.15
,302.40,320.40
,302.37,380.86
,302.30,407.79
,302.16,814.52
,302.15,869.27
,302.01,737.93
,301.93,518.85
,301.92,440.25
,301.90,1223.72
,301.90,395.08
,301.89,839.34
,301.80,1096.72
,301.77,904.84
,301.74,246.78
,301.70,95.36
,301.63,397.76
,301.60,389.22
,301.59,803.02
,301.45,534.01
,301.40,340.95
,301.34,122.23
,301.30,133.33
,301.22,976.55
,301.22,908.53
,301.10,863.78
,301.01,99.30
,301.00,934.72
,301.00,480.41
,300.97,86.62
,300.96,173.93
,300.90,3665.30
,300.85,545.99
,300.81,141.95
,300.80,6258.00
,300.74,6751.23
,300.73,3090.34
,300.70,4512.34
,300.65,272.30
,300.60,2435.15
,300.59,368.99
,300.55,1061.88
,300.53,148.01
,300.50,382.89
,300.50,6279.35
,300.48,7533.90
,300.46,794.83
,300.40,7151.60
,300.38,656.70
,300.37,3421.50
,300.36,591.70
,300.34,4353.93
,300.31,6752.29
,300.30,5140.23
,300.27,1172.06
,300.25,746.02
,300.24,5181.68
742.84,300.24,
5819.33,300.24,
1218.86,300.21,
2237.88,300.20,
7414.65,300.10,
278.32,300.05,
4530.27,300.00,
706.22,299.98,
461.37,299.92,
934.64,299.90,
444.95,299.87,
268.72,299.83,
2570.51,299.80,
2455.73,299.70,
292.13,299.64,
607.75,299.62,
2583.36,299.60,
511.67,299.55,
487.64,299.52,
139.50,299.50,
834.91,299.43,
574.45,299.43,
1050.72,299.40,
137.82,299.37,
190.71,299.36,
1796.03,299.30,
114.36,299.26,
413.63,299.24,
124.08,299.23,
657.77,299.22,
1086.14,299.20,
808.82,299.11,
1400.09,299.10,
254.52,299.04,
141.55,299.04,
732.69,299.03,
2845.48,299.00,
293.27,298.97,
878.37,298.96,
429.50,298.94,
419.15,298.92,
89.55,298.90,
972.69,298.90,
928.99,298.85,
203.78,298.83,
3096.48,298.80,
299.96,298.76,
156.49,298.76,
1090.11,298.70,
124.38,298.69,
132.07,298.64,
846.78,298.57,
794.88,298.55,
971.76,298.53,
165.00,298.50,
634.75,298.44,
1801.84,298.40,
308.17,298.34,
140.41,298.32,
502.42,298.29,
845.75,298.19,
814.72,298.17,
338.63,298.17,
536.20,298.15,
453.69,298.12,
80.64,298.10,
536.03,298.09,
185.37,298.00,
971.94,297.83,
478.96,297.80,
708.12,297.71,
515.41,297.60,
600.34,297.58,
530.54,297.56,
170.61,297.52,
624.00,297.50,
376.47,297.48,
81.74,297.41,
952.66,297.36,
11.03,297.35,
731.03,297.35,
847.52,297.33,
302.47,297.32,
485.70,297.30,
882.43,297.25,
121.98,297.18,
967.06,297.14,
544.34,297.07,
954.26,297.06,
667.78,296.94,
812.35,296.63,
140.26,296.58,
244.92,296.52,
121.66,296.21,
123.91,296.15,
918.33,296.01,
527.68,295.75,
357.30,295.63,
919.61,295.13,
117.98,295.09,
70.50,294.97,
776.97,294.65,
416.59,294.63,
911.46,294.53,
98.13,294.43,
615.59,294.28,
703.74,293.97,
38.08,293.89,
731.72,293.76,
