BID VOLUME,PRICE,ASK VOLUME
,652.40,605.29
,652.10,441.06
,652.00,949.80
,651.80,243.97
,651.60,564.51
,651.40,446.09
,651.30,469.80
,651.20,1189.87
,650.90,208.98
,650.80,2802.08
,650.60,1496.47
,650.50,330.65
,650.40,2216.06
,650.30,1557.40
,650.20,3264.44
,650.10,2191.30
,650.00,703.70
2255.34,649.90,
81.09,649.80,
2679.32,649.60,
2300.96,649.50,
898.91,649.40,
175.00,649.30,
2903.86,649.20,
403.85,649.10,
534.57,649.00,
199.88,648.90,
842.41,648.80,
1328.14,648.70,
1277.25,648.60,
325.61,648.20,
745.91,647.90,
